"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
2255	"SRX2831998"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9889	0.41700000000000004
2256	"SRX2831999"	"mm9"	"TFs and others"	"Kmt2d"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9895	0.4505
2257	"SRX2836972"	"mm9"	"TFs and others"	"Brd4"	"Adipocyte"	"Brown preadipocytes"	"None"	"None"	"C57BL/6J"	0.9893	0.4923
2258	"SRX2836974"	"mm9"	"TFs and others"	"Brd4"	"Adipocyte"	"Brown preadipocytes"	"None"	"None"	"C57BL/6J"	0.9873	0.4448
2259	"SRX2836985"	"mm9"	"TFs and others"	"Brd4"	"Adipocyte"	"Brown preadipocytes"	"None"	"None"	"C57BL/6J"	0.9698	0.1352
2260	"SRX2836986"	"mm9"	"TFs and others"	"Brd4"	"Adipocyte"	"Brown preadipocytes"	"None"	"None"	"C57BL/6J"	0.9726	0.3153
2261	"SRX2836987"	"mm9"	"TFs and others"	"Brd4"	"Adipocyte"	"Brown preadipocytes"	"None"	"None"	"C57BL/6J"	0.9834	0.2662
2262	"SRX283736"	"mm9"	"Histone"	"H3K4me1"	"Prostate"	"Prostate"	"None"	"ERG cre/cre"	"C57BL/6"	0.8806	0.2533
2263	"SRX283737"	"mm9"	"Histone"	"H3K4me3"	"Prostate"	"Prostate"	"None"	"ERG cre/cre"	"C57BL/6"	0.9897	0.7999
2264	"SRX283740"	"mm9"	"TFs and others"	"Erg"	"Prostate"	"Prostate"	"None"	"ERG cre/cre, Pten fl/fl"	"C57BL/6"	0.9744	0.3552
2265	"SRX283741"	"mm9"	"Histone"	"H3K4me1"	"Prostate"	"Prostate"	"None"	"ERG cre/cre, Pten fl/fl"	"C57BL/6"	0.9024	0.2796
2266	"SRX283742"	"mm9"	"Histone"	"H3K4me3"	"Prostate"	"Prostate"	"None"	"ERG cre/cre, Pten fl/fl"	"C57BL/6"	0.9877	0.7837
2267	"SRX283747"	"mm9"	"Histone"	"H3K4me3"	"Prostate"	"Prostate"	"None"	"Pten fl/fl"	"C57BL/6"	0.9938	0.8133
2268	"SRX283752"	"mm9"	"Histone"	"H3K4me3"	"Prostate"	"Prostate"	"None"	"None"	"C57BL/6"	0.9932	0.7965
2269	"SRX2845262"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.983	0.5955
2270	"SRX2845263"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9863	0.6358
2271	"SRX2845266"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.996	0.6349
2272	"SRX2845267"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.996	0.6693
2273	"SRX2845268"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9962	0.8752
2274	"SRX2845269"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"Kmt2d<SET> -/-"	"C57BL/6 x 129S4/SvJae"	0.9975	0.8837
2275	"SRX2845276"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9740000000000001	0.4773
2276	"SRX2845278"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9922	0.5716
2277	"SRX2845279"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9953	0.8514
2278	"SRX2845375"	"mm9"	"TFs and others"	"Foxo3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9621	0.0807
2279	"SRX2853265"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic organoid"	"None"	"None"	"C57BL/6"	0.9639	0.5035
2280	"SRX2853266"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic organoid"	"None"	"None"	"C57BL/6"	0.9703	0.5288
2281	"SRX2853267"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic organoid"	"None"	"None"	"C57BL/6"	0.9664	0.4627
2282	"SRX2853268"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic organoid"	"None"	"None"	"C57BL/6"	0.965	0.4904
2283	"SRX2853269"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9741	0.505
2284	"SRX2853270"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9701	0.5027
2285	"SRX2853271"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9602	0.5078
2286	"SRX2853272"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.968	0.5144
2287	"SRX2853273"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9729	0.4908
2288	"SRX2853274"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9717	0.5208
2289	"SRX2853275"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9644	0.4312
2290	"SRX2853276"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9705	0.5664
2291	"SRX2853277"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9544	0.4811
2292	"SRX2853278"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.973	0.4115
2293	"SRX2853279"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9682	0.4029
2294	"SRX2853280"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9691	0.4955
2295	"SRX2853287"	"mm9"	"TFs and others"	"Foxa1"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.937	0.0795
2296	"SRX2853289"	"mm9"	"TFs and others"	"Foxa1"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9345	0.0886
2297	"SRX2853290"	"mm9"	"TFs and others"	"Foxa1"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9339	0.0842
2298	"SRX2853291"	"mm9"	"TFs and others"	"Foxa1"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9432	0.0983
2299	"SRX2853317"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9726	0.5183
2300	"SRX2853318"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9739	0.5419
2301	"SRX2853319"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9704	0.5076
2302	"SRX2853320"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9674	0.5066
2303	"SRX2853331"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9742	0.3785
2304	"SRX2853333"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9689	0.4508
2305	"SRX2853336"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9778	0.5301
2306	"SRX2853337"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9719	0.4934
2307	"SRX2853338"	"mm9"	"Histone"	"H3K27ac"	"Pancreas"	"Pancreatic ductal adenocarcinoma"	"None"	"None"	"C57BL/6"	0.9811	0.5563
2308	"SRX2853347"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9670000000000001	0.4043
2309	"SRX2853349"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9706	0.3743
2310	"SRX285626"	"mm9"	"TFs and others"	"Ctcf"	"Blood"	"Pro-B cells"	"None"	"Rag2 -/-"	"C57BL/6"	0.9937	0.7829
2311	"SRX285627"	"mm9"	"TFs and others"	"Ctcf"	"Blood"	"Pro-B cells"	"None"	"Rag2 -/-, Pax5 -/-"	"C57BL/6"	0.9913	0.7381
2312	"SRX2858283"	"mm9"	"TFs and others"	"Rela"	"Blood"	"T cells"	"None"	"None"	"C57BL/6"	0.9706	0.4355
2313	"SRX2858287"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Regulatory T cells"	"None"	"None"	"C57BL/6"	0.9534	0.3421
2314	"SRX2862500"	"mm9"	"Histone"	"H2A.Z"	"Neural"	"Neural progenitor cells"	"None"	"None"	"C57BL/6"	0.9967	0.76
2315	"SRX286395"	"mm9"	"TFs and others"	"Ar"	"Kidney"	"Kidney"	"Castrated, testosterone"	"None"	"CD-1"	0.9515	0.0543
2316	"SRX286396"	"mm9"	"TFs and others"	"Ar"	"Kidney"	"Kidney"	"Castrated, testosterone"	"None"	"CD-1"	0.955	0.0676
2317	"SRX286399"	"mm9"	"TFs and others"	"Hnf4a"	"Kidney"	"Kidney"	"Castrated, testosterone"	"None"	"CD-1"	0.9756	0.0767
2318	"SRX286401"	"mm9"	"TFs and others"	"Tfap2a"	"Kidney"	"Kidney"	"Castrated, testosterone"	"None"	"CD-1"	0.9812	0.1889
2319	"SRX286406"	"mm9"	"TFs and others"	"Ar"	"Gonad"	"Epididymis"	"None"	"None"	"CD-1"	0.8614	0.0101
2320	"SRX286410"	"mm9"	"TFs and others"	"Tfap2a"	"Gonad"	"Epididymis"	"None"	"None"	"CD-1"	0.9455	0.0507
2321	"SRX286488"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"Skeletal muscle"	"None"	"None"	"C57BL/6"	0.9947	0.8703
2322	"SRX286492"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"Skeletal muscle"	"None"	"None"	"C57BL/6"	0.9951	0.8474
2323	"SRX286493"	"mm9"	"Histone"	"H3K27me3"	"Muscle"	"Skeletal muscle"	"None"	"None"	"C57BL/6"	0.9976	0.4078
2324	"SRX286496"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"Skeletal muscle"	"None"	"None"	"C57BL/6"	0.9987	0.9015
2325	"SRX2871200"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"Ncor1 -/-"	"C57BL/6J"	0.9657	0.1935
2326	"SRX2871201"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"Ncor1 -/-"	"C57BL/6J"	0.9665	0.195
2327	"SRX2871202"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"Ncor1 -/-"	"C57BL/6J"	0.9654	0.2291
2328	"SRX2871205"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6J"	0.9654	0.226
2329	"SRX2871207"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"Propylthiouracil, low iodine diet"	"Ncor1 -/-"	"C57BL/6J"	0.9632	0.2161
2330	"SRX2871208"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"Propylthiouracil, low iodine diet"	"Ncor1 -/-"	"C57BL/6J"	0.9604	0.2043
2331	"SRX2871210"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"Propylthiouracil, low iodine diet"	"None"	"C57BL/6J"	0.9692	0.1583
2332	"SRX2871211"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"Propylthiouracil, low iodine diet"	"None"	"C57BL/6J"	0.972	0.1873
2333	"SRX2875249"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9922	0.8154
2334	"SRX2875250"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9874	0.7247
2335	"SRX2875255"	"mm9"	"TFs and others"	"Kmt2b"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9983	0.5710000000000001
2336	"SRX2875257"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9814	0.3051
2337	"SRX2875258"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9823	0.2267
2338	"SRX2875263"	"mm9"	"TFs and others"	"Rnf2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9987	0.6534
2339	"SRX2875264"	"mm9"	"TFs and others"	"Rnf2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9989	0.6428
2340	"SRX2875267"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.986	0.4479
2341	"SRX2875268"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9878	0.3744
2342	"SRX2875269"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9982	0.8409
2343	"SRX2875270"	"mm9"	"TFs and others"	"Ctcf"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9979	0.8397
2344	"SRX2875271"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9840000000000001	0.5131
2345	"SRX2875272"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9852	0.5276
2346	"SRX2875274"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9942	0.8421
2347	"SRX2880136"	"mm9"	"TFs and others"	"Bcl11b"	"Blood"	"CD4+ T cells"	"None"	"None"	"C57BL/6"	0.977	0.2458
2348	"SRX2880137"	"mm9"	"TFs and others"	"Bcl11b"	"Blood"	"CD4+ T cells"	"None"	"None"	"C57BL/6"	0.9806	0.2107
2349	"SRX2880138"	"mm9"	"TFs and others"	"Bcl11b"	"Blood"	"Thymocytes"	"None"	"Bcl11b fl/fl"	"C57BL/6"	0.9818	0.3129
2350	"SRX2882912"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9606	0.4596
2351	"SRX2882913"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9523	0.4544
2352	"SRX2882914"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.956	0.467
2353	"SRX2882915"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9656	0.4862
2354	"SRX2882916"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9614	0.4754
2355	"SRX2882917"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9627	0.4663
2356	"SRX2882930"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9697	0.5106
2357	"SRX2882931"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9762	0.5431
2358	"SRX2882934"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9774	0.5466
2359	"SRX2882942"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9791	0.5872
2360	"SRX2882943"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9748	0.5779
2361	"SRX2882944"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9764	0.5889
2362	"SRX2882945"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9784	0.6053
2363	"SRX2882946"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"High-fat diet"	"None"	"C57BL/6"	0.9752	0.5823
2364	"SRX2882952"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9759	0.5576
2365	"SRX2882953"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9862	0.6188
2366	"SRX2882954"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9782	0.5732
2367	"SRX2882955"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9732	0.5612
2368	"SRX2882956"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9807	0.575
2369	"SRX2882957"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Colon"	"Low-fat diet"	"None"	"C57BL/6"	0.9807	0.5863
2370	"SRX288304"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"(129 x C57BL/6)F1"	0.998	0.8381
2371	"SRX2885380"	"mm9"	"TFs and others"	"Stat3"	"Neural"	"Cortical oligodendrocyte progenitor"	"None"	"None"	"C57BL/6"	0.958	0.1367
2372	"SRX2885381"	"mm9"	"TFs and others"	"Stat3"	"Neural"	"Cortical oligodendrocyte progenitor"	"None"	"None"	"C57BL/6"	0.9631	0.0743
2373	"SRX2894851"	"mm9"	"TFs and others"	"Btaf1"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9885	0.767
2374	"SRX2894852"	"mm9"	"TFs and others"	"Ino80"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9914	0.7686
2375	"SRX2894853"	"mm9"	"TFs and others"	"Dr1"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9891	0.7747
2376	"SRX2900598"	"mm9"	"TFs and others"	"Nr3c1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9817	0.2612
2377	"SRX2901270"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9938	0.3553
2378	"SRX2901271"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9927	0.4919
2379	"SRX2901272"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9925	0.4607
2380	"SRX2901273"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9895	0.451
2381	"SRX2901274"	"mm9"	"TFs and others"	"Smarca4"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9889	0.3863
2382	"SRX2901275"	"mm9"	"TFs and others"	"Cebpb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9918	0.3685
2383	"SRX2901276"	"mm9"	"TFs and others"	"Cebpb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9873	0.3454
2384	"SRX2901277"	"mm9"	"TFs and others"	"Cebpb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9826	0.3298
2385	"SRX2901278"	"mm9"	"TFs and others"	"Cebpb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9863	0.3574
2386	"SRX2901279"	"mm9"	"TFs and others"	"Cebpb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9835	0.3989
2387	"SRX2901281"	"mm9"	"TFs and others"	"Cebpd"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9915	0.3315
2388	"SRX2901282"	"mm9"	"TFs and others"	"Cebpd"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9919	0.3304
2389	"SRX2901283"	"mm9"	"TFs and others"	"Cebpd"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9903	0.3712
2390	"SRX2901284"	"mm9"	"TFs and others"	"Cebpd"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9876	0.4001
2391	"SRX2901290"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.992	0.3401
2392	"SRX2901291"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9914	0.3519
2393	"SRX2901292"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9887	0.3936
2394	"SRX2901293"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9797	0.4414
2395	"SRX2901294"	"mm9"	"TFs and others"	"Junb"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9784	0.4387
2396	"SRX2901295"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9838	0.5029
2397	"SRX2901296"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9844	0.4889
2398	"SRX2901297"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9828	0.4741
2399	"SRX2901298"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9814	0.4782
2400	"SRX2901299"	"mm9"	"TFs and others"	"Jund"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9822	0.4833
2401	"SRX2901300"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9905	0.3826
2402	"SRX2901301"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9903	0.3555
2403	"SRX2901302"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9882	0.3928
2404	"SRX2901303"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9838	0.4506
2405	"SRX2901304"	"mm9"	"TFs and others"	"Atf3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9834	0.4275
2406	"SRX2901305"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9914	0.4947
2407	"SRX2901306"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9916	0.5278
2408	"SRX2901307"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9919	0.5168
2409	"SRX2901308"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9919	0.5606
2410	"SRX2901309"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9917	0.5276
2411	"SRX2901310"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9911	0.5546
2412	"SRX2901311"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9913	0.5643
2413	"SRX2901312"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9908	0.5658
2414	"SRX2901313"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9925	0.5647
2415	"SRX2901314"	"mm9"	"TFs and others"	"Creb1"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9902	0.5141
2416	"SRX2901316"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9865	0.4698
2417	"SRX2901317"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9792	0.4545
2418	"SRX2901318"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9744	0.4841
2419	"SRX2901319"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9785	0.4051
2420	"SRX2901321"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"Irf3 -/-"	"C57BL/6"	0.9868	0.5091
2421	"SRX2901322"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"Irf3 -/-"	"C57BL/6"	0.9769	0.4931
2422	"SRX2901323"	"mm9"	"TFs and others"	"Rela"	"Blood"	"Macrophages"	"None"	"Irf3 -/-"	"C57BL/6"	0.9751	0.4864
